ID,Name,Album,Release Date,Length (ms),Accousticness,Danceability,Energy,Instrumentalness,Valence,Liveliness,Loudness,Speechiness,Tempo,Time Signature,Popularity,Lyrics
0gqqMqWOuICiRlqdPXJOaZ,Abc Chhodo,Raja Jani,01-01-1972,278933,0.961,0.31,0.663,0.0046,0.604,0.0989,-9.59,0.079,151.824,4,26,A b c d dhat A b c d chhoodoo Naino se naina jodo Dekho dil na todo Aai shaam suhaani Raja jani raja jani Raja jani raja jani A b c d chhoodoo Naino se naina jodo Dekho dil na todo Aai shaam suhaani Raja jani raja jani Raja jani raja jani Zara has ke dikhalao Zara has ke dikhalao Prem ka sabak padhao English mein kaise karte hai Isak visak batlaaon Isak visak batlaaon Aai rut mastani Raja jani raja jani Raja jani raja jani Rahe ne do hamjoli Rahe ne do hamjoli Ye pardesi boli Simit me kya rakha hai Aao khele ankhame choli Aao khele ankhame choli Do din ki jawani Raja jani raja jani Raja jani raja jani A b c d chhoodoo Naino se naina jodo Dekho dil na todo Aai shaam suhaani Raja jani raja jani Raja jani raja jani Main jaane kis kaaran Main jaane kis kaaran Ban gayi teri pujaran Teri meri nahi nibhani To babu main banjaran To babu main banjaran Main hu aag tu hai paani Raja jani raja jani A b c d chhoodoo Naino se naina jodo Dekho dil na todo Aai shaam suhaani Raja jani raja jani Raja jani raja jani
6kIPySHAhvraQEsgYRMEOl,"Ab Ke Sajan Sawan Mein (From ""Chupke Chupke"")",Master Musician S. D. Burman,25-04-2018,281426,0.839,0.49,0.571,0.00537,0.879,0.0619,-6.918,0.0385,99.681,4,21,"Ab ke sajan saawan me Aag lagegee badan me Ghataa barasegee, magar tarasegee najar Mil naa sakenge, do man yek hee aangan me.. Ab ke sajan saawan me lalala... (Do dilon kee beech khadee, kitanee diwaare.. Kaise sunoongee main piyaa, parem kee pukaare Choree chupake se tum laakh karo jatan, laakh karo jatan Sajan mil naa sakenge, do man yek hee aangan me thu thu thu thu Ab ke sajan saawan me (Itane bade ghar mein nahee, yek bhee zarokhaa.. Kis tarah hum denge bhalaa, duniyaan ko dhokhaa Raat bhar jagaayegee ye mast mast pawan, mast mast pawan Sajan mil naa sakenge, do man yek hee aangan me (ish) thu thu thu thu Ab ke sajan saawan me Tere mere pyaar kaa ye saal buraa hogaa.. Jab bahaar aayegee to haal buraa hogaa Kaante lagaayegaa ye foolon bharaa chaman, foolon bharaa chaman Sajan mil naa sakenge, do man yek hee aangan me Ab ke sajan saawan me thu thu thu thu"
241wE0Nygl6w8UfwKRRjwQ,Ab To Hai Tumse Har Khushi Apni,Abhimaan,27-07-1973,285133,0.948,0.279,0.427,0.0076,0.288,0.0976,-10.274,0.0313,105.679,4,39,"Aa.. aa... Ab to hai tumse har khushi apni Ab to hai tumse har khushi apni Tum pe marna hai zindagi apni Ho.. Ab to hai tumse har khushi apni Jab ho gaya tum pe yeh dil deewana Jab ho gaya tum pe yeh dil deewana Phir chaahe jo bhi kahe humko zamana Koi banaaye baatein chaahe ab jitni Ho.. Ab to hai tumse har khushi apni Tum pe marna hai zindagi apni Ho.. Ab to hai tumse har khushi apni Aaha ha ha o ho ho ho ho.. Aa aa.. Tere pyaar mein badnam door door ho gaye Tere pyaar mein badnam door door ho gaye Tere sath hum bhi sajan mash.hoor ho gaye Dekho kahaan le jaaye, bekhudi apni Ho.. Ab to hai tumse har khushi apni Tum pe marna hai zindagi apni Ho.. Ab to hai tumse har khushi apni "
4oqHIGO83H3Al8bxCEXgqI,Achha To Hum Chalte Hain,Aan Milo Sajna,24-12-1970,298746,0.947,0.565,0.373,1.57E-06,0.709,0.101,-11.362,0.0467,112.876,4,48,"Achchha toh hum chalte hain achchha toh hum chalte hain phir kab miloge, jab tum kahoge jumme raat ko, haan haan aadhi raat ko kahaan, wahi jahaan koyi aata jaata nahi wahi jahaan koyi aata jaata nahi achchha toh hum chalte hain Kisi ne dekha to nahi tumhe aate nahi main aayi hu chhupke chhupaake der kar di badi, zara dekho toh ghadi uf o meri toh ghadi band hai teri ye ada mujhe pasand hai dekho baate waate kar lo jaldi jaldi phir na kahana abhi aayi abhi chal di toh aao paas baithe pal do pal aaj nahi kal, kyu kyu, aaj nahi kal yeh toh ik bahaana hai, waapas ghar bhi jaana hai kitni jaldi yeh din dhalate hain haay, taata achchha toh ham chalte hain phir kab miloge, jab tum kahoge kal milo ya paraso, paraso nahi, naraso kahaan, yahi yahaan koyi aata jaata nahi achchha toh hum chalte hain Uda hai kis liye tera rang gori hamaari pakdi gayi hai bas chori, achchha ram jaane kya ho ab, kaise hua yeh gajab mera aanchal jo jara dhal gaya saari duniya ko pata chal gaya kaise khelenge abb aankh micholi leja aake mere ghar se meri doli tere gharwaale na kar de inkaar sab hain taiyaar, sab hain taiyaar sun le phir dil ki fariyaad bas baaki shaadi ke baad piya dekho, diye jalate hain, achchha achchha toh hum chalte hain achchha toh hum chalte hain achchha toh hum chalte hain achchha toh hum chalte hain achchha toh hum chalte hain"
6oNmIsNVtVMDmWO6jSikiX,Ae Sagar Ki Laheron,Samundar,19-05-1986,479813,0.769,0.421,0.577,8.26E-05,0.435,0.16,-9.877,0.0713,136.979,4,26,Pyar samunder se hai gahra Isme kahin hum dub na jaye Dil chahe tufan se khele Sahil par vapas na aaye Ae sagar ki laheron Hum bhi aate hai thahero Ae sagar ki laheron Hum bhi aate hai thahero O sahil sahil manzil Manzil humko le chalo Eye sagar ki lahro Ham bhi aate hai thahro Eye sagar ki lahro Ham bhi aate hai thahro Jaisa betab ye ek dil nadan hai Dekhe aisa kahin koi tufan hai Jaisa betab ye ek dil nadan hai Are dekhe aisa kahin koi tufan hai La la la la..la la la la Basti basti kashti Kashti humko le chalo Ae sagar ki laheron Hum bhi aate hai thahero O sahil sahil manzil Manzil humko le chalo Ae sagar ki laheron Hum bhi aate hai thahero Ae sagar ki laheron Hum bhi aate hai thahero O meri mahebub sa Kya hai koi hasin Ho mere dildar sa Aashiq koi nahi O meri mahebub sa Kya hai koi hasin Ho mere dildar sa Aashiq koi nahi La la la la..la la la la Sehra sehra dariya Dariya humko le chalo Ae sagar ki laheron Hum bhi aate hai thahero O sahil sahil manzil Manzil humko le chalo Ae sagar ki laheron Hum bhi aate hai thahero Ae sagar ki laheron Hum bhi aate hai thahero Ye duniya chhod ke Rah jaye hum wahan Hum dono ke siwa Koi na ho jahan Ye dunia chhod ke Rah jaye hum wahan Are hum dono ke Siwa koi na ho jahan La la la la..la la la la Chalte chalte raste Raste humko le chalo Ae sagar ki laheron Hum bhi aate hai thahero O sahil sahil manzil Manzil humko le chalo Ae sagar ki laheron Hum bhi aate hai thahero Ae sagar ki laheron Hum bhi aate hai thahero
5dUVlaivCRTwDgn8IV3YVu,Allah Jane Kya Hoga Aage,Hariyali Aur Rasta (Original Motion Picture Soundtrack),30-12-1961,275746,0.744,0.449,0.517,0,0.816,0.334,-11.705,0.0473,128.662,4,20,Ibteda-e-ishk me ham sari raat jage allah jane kya hoga aage oh maula jane kya hoga aage dil me teri ulfat ke bandhne lage dhage allah jane kya hoga aage oh maula jane kya hoga aage ibteda-e-ishk me ham Kya kahu kuch kaha nahi jaye bin kahe bhi raha nahi jaye kya kahu kuch kaha nahi jaye bin kahe bhi raha nahi jaye raat bhar karvat mai badlu dard dil kaa saha nahi jaye nind meri aankho se dur dur bhage allah jane kya hoga aage oh maula jane kya hoga aage dil me teri ulfat ke bandhne lage dhage allah jane kya hoga aage oh maula jane kya hoga aage ibteda-e-ishk me ham Dil me jagi prit ki jwala jabse maine hosh sambhala dil me jagi prit ki jwala jabse maine hosh sambhala mai hu tere pyar ki seema tu mera raahi matwala mere man ki vina me tere raag jage allah jane kya hoga aage oh maula jane kya hoga aage ibteda-e-ishk me ham sari raat jage allah jane kya hoga aage oh maula jane kya hoga aage ibteda-e-ishk me ham Tune jab jab aankh milayi dil se ek awaj ye aayi tune jab jab aankh milayi dil se ek awaj ye aayi chal ke ab taro me rahenge pyar ke ham do saudayi mujhko teri surat bhi chand raat lage allah jane kya hoga aage oh maula jane kya hoga aage ibteda-e-ishk me ham sari raat jage allah jane kya hoga aage oh maula jane kya hoga aage ibteda-e-ishk me ham
49LynM0r6b2bg3BA0jzTjY,Ayee Ayee Ayee Teri Yaad Ayee - Romance / Soundtrack Version,The Legend Forever - Lata Mangeshkar - Vol.5,01-01-2012,360693,0.469,0.43,0.717,3.76E-05,0.704,0.108,-6.018,0.0378,142.948,4,24,"Dil ke aasman pe gam ki ghata chhayi Aayi aayi, aayi teri yaad aayi Dil ke aasman pe gam ki ghata chhayi Aayi aayi, aayi teri yaad aayi Teri yaad me sari duniya bhulayi Aayi aayi, aayi teri yaad aayi Aa gaya phulo ke khilne ka mosam Duniya ke aashiqo ke milne ka mosam Aa gaya phulo ke khilne ka mosam Duniya ke aashiqo ke milne ka mosam Apne nasibo me hai kyu ye judayi Aayi aayi, aayi teri yaad aayi Teri yaad me sari duniya bhulayi Aayi aayi, aayi teri yaad aayi Log kahe to mai ye jan gawa du Kaise labo se tera naam mita du Log kahe to mai ye jan gawa du Kaise labo se tera naam mita du Mujhse na hogi kabhi ye bewafayi Aayi aayi, aayi teri yaad aayi Teri yaad me sari duniya bhulayi Aayi aayi, aayi teri yaad aayi Mot ke kadmo pe hum ghir padenge Hum do akele kis kis se ladenge Mot ke kadmo pe hum ghir padenge Hum do akele kis kis se ladenge Pyar ki dushman hai ye sari khudayi Aayi aayi, aayi teri yaad aayi Teri yaad me sari duniya bhulayi Aayi aayi, aayi teri yaad aayi"
4m2TSmceh9GyhhLp9eQDlm,Bade Armanon Se,Malhar (Original Motion Picture Soundtrack),31-12-1951,213466,0.989,0.647,0.18,0.0745,0.965,0.171,-14.2,0.252,159.512,3,20,Bade armano se rakha hai balam teri kasam O balam teri kasam Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam Judaa na kar sakenge hamko zamane ke sitam Ho zamane ke sitam Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam Le utha pyar bhi angadai hai dil bhi jahan Aji aise me liye jate ho tum bolo kahaan Aji aise me liye jate ho tum bolo kahaan Dur duniyaa ki nigaho se kahi jaenge ham Oh kahi jaenge ham Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam Bade armano se rakha hai balam teri kasam O balam teri kasam Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam Teri do ankho me dikhte hai mujhe dono jaha Inhi me kho gaya dil mera kaho dhundhu kahan Inhi me kho gaya dil mera kaho dhundhu kahan Chand ghatata ho ghate apani mohabat na ho kam Ho mohabat na ho kam Pyaar ki duniya me ye pehla kadam Hooo oh pehala kadam Bade armano se rakha hai balam teri kasam O balam teri kasam Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam Meri naiya ko kinare ka intazar nahi Meri naiya ko kinare ka intazar nahi Tera anchal ho to patvar bhi darkar nahi Tera anchal ho to patvar bhi darkar nahi Tere hote hue kyo ho mujhe tufan ka gam Mujhe tufan ka gam Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam Bade armano se rakha hai balam teri kasam O balam teri kasam Pyar ki duniya me ye pehla kadam Hooo oh pehala kadam
764V8EJcwXhgCyivL2NfxV,Bahar Ban Ke Woh Muskuraye,Apne Huye Paraye,01-01-1964,322266,0.826,0.35,0.566,0.00975,0.769,0.601,-8.974,0.145,188.227,4,42,"bahar ban ke wo muskuraye humare gulshan me bahar ban ke wo muskuraye humare gulshan me baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya bahar ban ke wo muskuraye humare gulshan me bahar ban ke wo muskuraye humare gulshan me baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya mere dil ki raaho pe mere sang sang aa mere dil ki raaho pe mere sang sang aa tujhko dikhla du mai humdam apna tujhko dikhla du mai humdam apna rango bhari duniya meri, mera pyar pahla baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya bahar ban ke wo muskuraye humare gulshan me baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya chup ke koi aaya hai, jab se dil me chup ke koi aaya hai, jab se dil me har din nayi halchal hai meri mehfil me har din nayi halchal hai meri mehfil me dhadkan meri gane lagi, ab ye geet unka baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya matwali dolu mai khoyi sapno me matwali dolu mai khoyi sapno me ab mera dil lage na mere apno me ab mera dil lage na mere apno me kya mil gaya, kya kho gaya, dil hi jane mera baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya bahar ban ke wo muskuraye humare gulshan me bahar ban ke wo muskuraye humare gulshan me baad-e-saba tu na aaye to kya kaali ghata tu na chhaye to kya baad-e-saba tu na aaye to kya baad-e-saba tu na aaye to kya baad-e-saba tu na aaye to kya"
2q3VUz3UgA3PVFFRJOMObF,"Bahon Mein Chale Aao (From ""Anamika"")",Flash Back - Lata Mangeshkar with Tabassum,01-11-2013,242013,0.782,0.508,0.317,1.34E-05,0.689,0.0524,-11.251,0.0463,72.879,4,36,"Bahon mein chale aao Bahon mein chale aao Ho hamse sanam kya parda Ho hamse sanam kya parda Yeh aaj ka nahi milan Yeh sang hai umar bhar ka Shh shh shh shh shh Bahon mein chale aao Ho hamse sanam kya parda Ho hamse sanam kya parda Chale hi jana hai Nazar chura ke yoon Phir thaami thi saajan tumne Meri kalaai kyun ha Chale hi jana hai Nazar chura ke yoon Phir thaami thi saajan tumne Meri kalaai kyun ha Kisi ko apna banake chhod dein Aisa koi nahi karta Shh shh shh shh shh Bahon mein chale aao Ho hamse sanam kya parda Ho hamse sanam kya parda Kabhi kabhi kuchh to Kaho piya hamse Ae kam se kam aaj to khul ke Milo zara hamse Kabhi kabhi kuchh to Kaho piya hamse Ae kam se kam aaj to khul ke Milo zara hamse Hai raat apni, jo tum ho apne Kisi ka phir hamein dar kya Shh shh shh shh shh Bahon mein chale aao Ho hamse sanam kya parda Ho hamse sanam kya parda Yeh aaj ka nahi milan Yeh sang hai umar bhar ka Shh shh shh shh shh Bahon mein chale aao Ho hamse sanam kya parda Ho hamse sanam kya parda"
