ID,Name,Album,Release Date,Length (ms),Accousticness,Danceability,Energy,Instrumentalness,Valence,Liveliness,Loudness,Speechiness,Tempo,Time Signature,Popularity,Lyrics
5xu7mya8HE7yafo467giT4,Duniya Kare Sawaal To Ham,Bahu Begum (Original Motion Picture Soundtrack),01-12-1966,192746,0.99,0.521,0.24,0.00868,0.49,0.102,-8.917,0.0265,95.673,4,15,Duniya kare sawaal to ham kya jawaab den Tumako n ho khyaal to ham kya jawaab den Puchhe koi ki dil ko kahaan chhod aye hain Kis kis se apana rishta-e-jaan tod aye hain Mushkil ho arj-e-haal to ham kya jawaab den Puchhe koi ki dard-e-wafa kaun de gaya Raaton ko jaagane ki saza kaun de gaya Kahane se ho malaal to ham kya jawaab den
4XE3fgHEXc3XDtXNzIPbUN,Ek Baar Zara Phir Keh Do,Bin Badal Barsaat,17-11-1963,247675,0.96,0.638,0.481,3.37E-05,0.793,0.158,-7.186,0.0863,124.487,4,18,Ik baar zaraa phir kah do Mujhe sharmaake tum divaanaa Aisi mithi mithi baate karake Aisi mithi mithi baate karake Kahaan sikhaa hai dil kaa lubhaanaa O jaan e jaa Ik baar zaraa phir kah do Mujhe sharmaake tum divaanaa Un hun Dil lekar raho dur hazoor na hamse Karo itana guroor na hamse O sajana mera haar singar tumhi ho Mera dam hai tumhare hi dam pe Tum sama ho to mehu parwana Aise mithi mithi baate karake Kahan sikha hai dil ka lubhana O jaan e jaa Ik baar zaraa phir kah do Mujhe sharmaake tum divaanaa Un hun Suno dilbar ye jo geet khushi ka chala hai Mera pyaar isime dhala hai Mera dil bhi piya leke tumhara sahara Nayi raah pe aaj chatha hai Diya tumhi ne ummido ka thikana Aisi mithi mithi baate karake Kahaan sikhaa hai dil kaa lubhaanaa O jaan e jaa Ik baar zaraa phir kah do Mujhe sharmaake tum divaanaa Un hun Tum chaaho to me tod ke ladu sitaare Ke ho tum muje jaan se pyaare Kya mangu jab mil gaye tum muje sajana Me to aagayi bus me tumhare Mera dil hai tumhara najarana Aisi mithi mithi baate karake Kahaan sikhaa hai dil kaa lubhaanaa O jaan e jaa Ik baar zaraa phir kah do Mujhe sharmaake tum divaanaa Un hun.
3wnuQ9NcrTXKDgkKRLZwnc,Ek Manzil Rahi Do,Sanjog,01-01-1961,224000,0.951,0.546,0.267,0.00121,0.824,0.318,-17.006,0.0437,114.039,4,20,"Ek mnjil raahi do fir pyaar na kaise ho Saath mile jab dil ko fir pyaar na kaise ho Ham bhi wo hi hain, dil bhi wo hi hai, dhadkan magar ni hai Dekho to mit, ankhon men prit, kya rng bhar gayi hai Nikale hain dhun men, apani lagan men mnjil bula rahi hai Thhndi hawa bhi ab to milan ke nagme suna rahi hai Dekho wo ful, duniya se dur, akar kahaan khila hai Meri tarah ye khush hai jarur isako bhi kuchh mila hai"
6RELGnjAoxtO1IRYUcEcta,Ek Pyar Ka Naghma Hai,Classic Revival Ek Pyar Ka Naghma Hai,20-05-2000,287893,0.235,0.268,0.371,0.00067,0.255,0.0674,-10.807,0.0318,88.688,4,55,Ek Pyaar Kaa Nagmaa Hai Maujon Ki Ravaani Hai Ek Pyaar Kaa Nagmaa Hai Maujon Ki Ravaani Hai Zindagi Aur Kuch Bhi Nahi Teri Meri Kahaani Hai Kuch Paakar Khona Hai Kuch Khokar Paanaa Hai Jeevan Ka Matlab Toh Aanaa Aur Jaanaa Hai Do Pal Ke Jeevan Se Ek Umr Churaani Hai Zindagi Aur Kuchh Bhi Nahi Teri Meri Kahaani Hai Ek Pyaar Ka Nagmaa Hai Ek Pyaar Kaa Nagmaa Hai Maujon Ki Ravaani Hai Zindagi Aur Kuch Bhi Nahi Teri Meri Kahaani Hai Tu Dhaar Hai Nadiyaa Ki Main Tera Kinaraa Hoon Tu Mera Saharaa Hai Main Tera Saharaa Hoon Aankhon Mein Samandar Hai Aashaaon Ka Paani Hai Zindagi Aur Kuch Bhi Nahin Teri Meri Kahaani Hai Ek Pyaar Kaa Nagmaa Hai Ek Pyaar Kaa Nagmaa Hai Maujon Ki Ravaani Hai Zindagi Aur Kuch Bhi Nahi Teri Meri Kahaani Hai Toofaan To Aanaa Hai Aakar Chale Jaanaa Hai Baadal Hai Ye Kuch Pal Kaa Chaakar Dhal Jaanaa Hai Parchaaiyaan Reh Jaati..Reh Jaati Nishaani Hai Zindagi Aur Kuch Bhi Nahin Teri Meri Kahaani Hai Ek Pyaar Kaa Nagmaa Hai Ek Pyaar Kaa Nagmaa Hai Maujon Ki Ravaani Hai Zindagi Aur Kuch Bhi Nahi Teri Meri Kahaani Hai
7FPJF3tt7KRzCa7HsOuA7i,Gar Tum Bhula Na Doge - 1969,Yakeen,01-01-1969,212506,0.964,0.528,0.366,0.463,0.562,0.278,-13.895,0.0295,108.479,4,22,Gar tum bhula na doge Sapane ye sach hi hoge Hum tum juda na hoge Hum tum juda na hoge Gar tum bhula na doge Sapane ye sach hi hoge Hum tum juda na hoge Hum tum juda na hoge Patthar ki hai lakeere Kehde wafa humari Hargiz na mite sakenge Naamo nishan humare Chahat ki manzilo par Har saans ye pukare Gar tum bhula na doge Sapane ye sach hi hoge Hum tum juda na hoge Hum tum juda na hoge Jivan ke har safar me Hum sath hi rahege Duniya ki har dagar par Hum sath hi chalege Hum sath hi jiyege Hum sath hi marege Gar tum bhula na doge Sapane ye sach hi hoge Hum tum juda na hoge Hum tum juda na hoge Gar tum bhula na doge Sapane ye sach hi hoge Hum tum juda na hoge Hum tum juda na hoge.
4aQI0YFuzKpF2EpN7YamwG,Geet Tere Saaz Ka,Intaquam,01-01-1969,356546,0.968,0.369,0.378,0.00353,0.297,0.337,-11.303,0.0391,124.142,4,24,Geet tere saaz ka teri hi aawaz houn Tu bhi mera saathi ban Jaa main teri hamraaz houn Geet tere saaz ka teri hi aawaz houn Tu bhi mera saathi ban Jaa main teri hamraaz houn Geet tere saaz ka teri hi aawaz houn Aa jaa milke batle ho Kya khushiya kya gham Aa jaa milke batle ho Kya khushiya kya gham Tanha tanha tanhaai ka Zaher peeye kyun ham Tu mere jeevan ka panchhi Main teri parwaaz houn Geet tere saaz ka teri hi aawaz houn Tu bhi mera saathi ban Jaa main teri hamraaz houn Geet tere saaz ka teri hi aawaz houn Do deen ka saath nahin ho Saari umr ka hain saath Do deen ka saath nahin ho Saari umr ka hain saath Jiiteji na honge juda Ye aaj mile jo haath Tu mere saanson ka malik Main teri daam saaz houn Geet tere saaz ka teri hi aawaz houn Tu bhi mera saathi ban Jaa main teri hamraaz houn Geet tere saaz ka teri hi aawaz houn Geet tere saaz ka teri hi aawaz houn.
4ssXZ2JPjPqDO8v6Exk7jy,Gehre Halke Halke Gehre - Duniya / Soundtrack Version,Duniya,01-01-1984,318800,0.404,0.39,0.546,3.35E-06,0.689,0.117,-9.782,0.0373,154.165,3,24,Gehare halake halake gehare chhaaye shaam ke saaye dhire dhire haule haule dil ki dhadkan gaaye tum ho main hoon aur tanhayiya tan mein jaagi hai angdayiya gehare halake halake gehare chhaaye shaam ke saaye dheere dheere haule haule dil ki dhadkan gaaye tum ho main hoon aur tanhayiya tan mein jaagi hai angdayiya Mausam ki ye kya nayi reet hai mausam ki ye kya nayi reet hai thnadi hawaao mein sangeet hai purwa san san gunje ban ban koyal shor machaaye tum ho main hoon aur tanahaayiya dheemi dheemi hai shehnaayiya Palako pe jaise ghata chha gayi palako pe jaise ghata chha gayi baahon ke ghere mein main aa gayi brsha dhar dhar barase jhar jhar mann mein aag lagaaye tum ho main hoon aur tanahaayiya bheegi bheegi hai parchhayiya Rangin dil ke fasane huye rangin dil ke fasane huye hum tum to jaise diwane huye mehaki mehaki behaki behaki rut ne hosh udaaye tum ho main hoon aur tanahayiya gulshan gulshan hai ruswaiya gehare halake halake gehare chhaaye shaam ke saaye dheere dheere haule haule dil ki dhadkan gaaye tum ho main hoon aur tanhaayiya tan mein jaagi hai angdayiya
6ISF8WtUVBrjXB1rL1PMFu,Gore Rang Pe Itna Gumaan Na Kar - Roti / Soundtrack Version,Roti,01-01-1974,291626,0.794,0.407,0.686,0,0.855,0.109,-7.784,0.0725,76.975,4,41,Gore rang pe na itana gumaan kar...  Gora rang do din mein dhal jaayega Main shama hoon tu hai parvaana...  Mujhase pahale tu jal jaayega Gore rang pe Roop mit jaata hai ye pyaar ai diladaar nahi mitata Ho ho phool murajhaane se gulazaar o sarakaar nahi mitata Kya baat kahi hai hoy tauba...  Ye dil beimaan machal jaayega Gore rang pe O o aapako hai aisa inkaar to ye pyaar yaheen chhodo O o pyaar ka mausam hai bekaar ki takaraar yaheen chhodo Haathon mein haath zara de-do...  Baaton mein vaqt nikal jaayega Gore rang pe O o main tujhe kar daaloon masaroor nashe men choor to maanoge O o tumase main ho jaaoon kuch door e magarur ho manoge Tu laakh bacha mujhase daaman...  Ye husn ka jaadu chal jaayega Gore rang pe
1f59lncezQDbm3thSsKu3E,Gulmohar Gar Tumhara Naam Hota,Devata,03-11-1978,204080,0.659,0.621,0.503,0.00112,0.77,0.204,-8.248,0.0282,113.871,4,20,Gulmohar Gar Tumhara Naam Hota Mausam-E-Gul Ko Hasaana Bhi Hamara Kaam Hota Aayengi Baharein To Abke Unhe Kehna Zara Itna Sune Mere Gul Bina Kahan Unka Bahaar Naam Hota Gulmohar Gar Tumhara Naam Hota... Shaam Ke Gulabi Se Aanchal Mein Ek Diya Jala Hai Chaand Ka Mere Un Bina Kahan Uska Chaand Naam Hota Gulmohar Gar Tumhara Naam Hota...
3XMEksZrqfvDfRvjpz2JsJ,Haal-E-Dil Yun Unhen Sunaya Gaya,Jahan Ara,01-01-1964,182560,0.987,0.339,0.354,0.0757,0.531,0.279,-10.434,0.032,139.874,3,19,Haal-e-dil yun unhen sunaaya gaya Ankh hi ko jubaan banaaya gaya Zindagi ki udaas raaton ko Ap ki yaad se sajaaya gaya Haal-e-dil Ishk ki wo bhi ek mnjil thi Har kadam par fareb khaaya gaya Haal-e-dil Laakh tufaan samet kar ya rab Is liye ek dil banaaya gaya Haal-e-dil
0sk39qN4lmuGDlUDYpoeGM,Ham Bhi Hain Tum Bhi Ho,Jis Desh Mein Ganga Behti Hai,01-01-1960,468035,0.889,0.455,0.557,6.72E-05,0.866,0.312,-10.606,0.134,82.271,3,24,Hai aag hamare sine me Hum aag se khelte aate hai Takrate hai jo is takt Se mitti me mil jte hai Tum se to patanga achha hai Jo haste hue jal jata hai Oye hoye hoye hoye Wo pyar me mit to jata hai Par nam amar kar jata hai Par nam amar kar jata hai Hum bhi hai tum bhi ho Dono hai amne samne Dekhlo kya asar kar Diya pyar ke nam ne Gate garajte sagar hai Koi hamko bandh nahi paya Oye hum mauj me jab bhi lagraye Sara jag dar se tharraya Hum choti si wo bund sahi hai Seep ne jisko apnaya Khara pani koi pi na saka Ek pyar ka moti kam aaya Ek pyar ka moti kam aaya Hum bhi hai tum bhi ho Dono hai amne samne Dekhlo kya asar kar Diya pyar ke nam ne Kis phul pe marti hai dunia Hai konsa fal sabse mitha Naino se jo naina takraye to Kon hara or kon jita Ye dil ka kamal sab se sundar Mehnat ka fal sabse mitha Is pyar ki bazi me haskar Jo dil hara wo sab jita Jo dil hara wo sab jita Hum bhi hai tum bhi ho Dono hai amne samne Dekhlo kya asar kar Diya pyar ke nam ne Itna sa jigar itna Sa hai dil hai kya Kya bat badi karne aaye Kya paida hogi aag Agar pathar se Pathar na takraye Nanha sa ye dil Aankho me na ho to Pal me andhera ho jaye Itna sa dil tu dede agar Sara jag tera ho jaye Sara jag tera ho jaye Hum bhi hai tum bhi ho Dono hai amne samne Dekhlo kya asar kar Diya pyar ke nam ne Jane kaisi ye mauje anjani Dil me aayi jaise yad purani Jane kaisi ye mauje anjani Dil me aayi jaise yad purani O yad purani Tumne liya aaj dil mera Aaj ki rang bhari sham ne Hum bhi hai tum bhi ho Dono hai amne samne Tune mujhko sankha tha begana Lekin tumko maine hi pahchana Tune mujhko sankha tha begana Lekin tumko maine hi pahchana Hai pahchana Mil gayi manjile rah Hasi khul gayi samne Hum bhi hai tum bhi ho Dono hai amne samne Tu jo kahde mai teri ho jau Khoyi khoyi aankho me kho jau Tu jo kahde mai teri ho jau Khoyi khoyi aankho me kho jau Haye kho jau Tumne ye kya kiya log Dil ko lage thamne Dekhlo kya asar kar Diya pyar ke nam ne Hum bhi hai tum bhi ho Dono hai amne samne
2p4KzBHYAMII5z52c5ZCyZ,Har Khushi Ho Wahan,Upkar (Original Motion Picture Soundtrack),01-12-1968,209000,0.988,0.29,0.354,9.90E-05,0.464,0.203,-12.669,0.0366,148.927,4,15,Har Khushi Ho Wahan Tu Jahaan Bhi Rahe Har Khushi Ho Wahan Tu Jahaan Bhi Rahe Zindagi Ho Wahaan Tu Jahaan Bhi Rahe Har Khushi Ho Wahaan Tu Jahaan Bhi Rahe Ye Andhere Mujhe Ho Ho Ho O O O Ye Andhere Mujhe Is Liye Hain Pasand In Mein Saaya Bhi Apna Dikhaayi Na De In Mein Saaya Bhi Apna Dikhaayi Na De Roshni Ho Wahaan Roshni Ho Wahaan Roshni Ho Wahaan Tu Jahaan Bhi Rahe Zindagi Ho Wahaan Tu Jahaan Bhi Rahe Har Khushi Ho Wahaan Tu Jahaan Bhi Rahe Chaand Dhundhlaa Sahi Ho Ho Ho O O O Chaand Dhundhlaa Sahi Gham Nahin Hai Mujhe Teri Raaton Pe Raaton Ka Saaya Na Ho Teri Raaton Pe Raaton Ka Saaya Na Ho Chaandni Ho Wahaan Chaandni Ho Wahaan Chaandni Ho Wahaan Tu Jahaan Bhi Rahe Zindagi Ho Wahaan Tu Jahaan Bhi Rahe Har Khushi Ho Wahaan Tu Jahaan Bhi Rahe
4IZE4ju21T508RaA5527hc,"Hey Maine Kasam Li - From ""Tere Mere Sapne """,Bollywood Ballads,04-04-2014,240773,0.856,0.578,0.515,0,0.834,0.0965,-6.111,0.0312,140.847,4,21,"He maine kasam li, he tune kasam li nahi honge juda ham he maine kasam li, he tune kasam li nahi honge juda ham he maine kasam li Saans teri mandir mandir jaise rajanigandha pyaar tera madhur madhur chandani ki ganga saans teri mandir mandir jaise rajanigandha pyaar tera madhur madhur chandani ki ganga nahi honge juda nahi honge juda nahi honge juda ham maine kasam li, he tune kasam li nahi honge juda ham ki he maine kasam li Paake kabhi khoya tujhe, khoke kabhi paaya janam janam tere liye badali hamne kaaya paake kabhi khoya tujhe, khoke kabhi paaya janam janam tere liye badali hamne kaaya nahi honge juda nahi honge juda nahi honge juda ham maine kasam li, he tune kasam li nahi honge juda ham ki he maine kasam li Ek tan hai ek mann hai, ek praan apane ek rang ek rup tere mere sapane ek tan hai ek mann hai, ek praan apane ek rang ek rup tere mere sapane nahi honge juda nahi honge juda nahi honge juda ham maine kasam li, he tune kasam li nahi honge juda ham ki he maine kasam li maine kasam li, he tune kasam li nahi honge juda ham ki he maine kasam li"
2MjnGtsgfqllql2ndWdGn8,Ho Gaya Hai Tujhko To Pyar Sajna,Dilwale Dulhania Le Jayenge,20-10-1995,347680,0.547,0.404,0.662,2.99E-05,0.507,0.346,-8.606,0.059,100.195,4,57,Na Jaane Mere Dil Ko Kya Ho Gaya Abhi To Yahin Tha Abhi Kho Gaya Na Jaane Mere Dil Ko Kya Ho Gaya Abhi To Yahin Tha Abhi Kho Gaya Na Jaane Mere Dil Ko Kya Ho Gaya Abhi To Yahin Tha Abhi Kho Gaya Ho gaya hai tujhko to pyar sajna Laakh Karle Tu Inkaar Sajna Ho Gaya Hai Tujhka To Pyaar Sajna Laakh Karle Tu Inkaar Sajna Dildar Sajna Hai Ye Pyaar Sajna Ho Gaya Hai Tujhka To Pyaar Sajna Laakh Karle Tu Inkaar Sajna Dildar Sajna Hai Ye Pyaar Sajna Dekha Na Tune Mudke Bhi Peechhe Kuchh Der To Main Ruka Tha Jab Dil Ne Tujhko Rokna Chaaha Door Tu Ja Chuka Tha Hua Kya Na Jaana Ye Dil Kyon Deewana Ho Gaya Hai Tujhka To Pyaar Sajna Laakh Karle Tu Inkaar Sajna Ho Gaya Hai Tujhka To Pyaar Sajna Laakh Karle Tu Inkaar Sajna Dildar Sajna Hai Ye Pyaar Sajna Ay Vakt Rukja Thamja Thaharja Vaapas Zara Daud Peechhe Main Chhod Aayi Khud Ko Jahan Pe Vo Reh Gaya Mod Peechhe Kahan Main Kahan Tu Ye Kaisa Hai Jaadu Arre Ho Gaya Hai Tujhka To Pyaar Sajna Laakh Karle Tu Inkaar Sajna Ho Gaya Hai Tujhka To Pyaar Sajna Laakh Karle Tu Inkaar Sajna Dildar Sajna Hai Ye Pyaar Sajna Na Jaane Mere Dil Ko Kya Ho Gaya Abhi To Yahin Tha Abhi Kho Gaya Kho Gaya
7rkUGVsS7ATTGLovasie9B,Hum Ko Mohabbat Ho Gai Hai,Haath Ki Safai,30-08-1974,226666,0.685,0.645,0.493,4.88E-05,0.822,0.126,-14.513,0.061,112.912,4,20,Tumko mohabat ho gai hamse Hum ko mohobbat ho gai tumse Aur tumko mohabat ho gai hamse Ab to mil jayega woh khazana Jis ke peeche hai sara zamana Gulabi galon ka Na na Reshmi balon ka Na na Gori baaho ka Na na Nashili ankho ka Na na na jiski khatir hua hoon main diwana diwana Humko mohabbat are tumko mohabat ho gai hamse Hum ko mohobbat ho gai tumse Deewane haa Kis baat ke ho batlao na Deewane haa bolo Kis baat ke ho batlao na Sharmao na kya hai dil me tumhare farmaona na Pehle jaldi jaldi bahon me aa jao Phir samja denge hum Aise na gabrao Oh kahin ruswa na karde zamana zamana Tumko mohabat tumko mohabat ho gai hamse Humko mohabbat ho gai hai tumse Aji chhodo ruswa toh sabhi hai zamane me Aji chhodo ruswa toh sabhi hai zamane me Kuch ayega kuch jayega bhi dil lagane mein Aane jaane ka ye raaz bhi samja do Dil me raheke dekho dil ko na tadpao Dil ka dil me hai aana hai jaana o jaana Tumko mohabbat humko mohabbat ho gai tumse Aur humko mohabbat ho gai hai humse
7cqSZn61vxGzPuc2UuQC5e,Humko Tumse Ho Gaya Hai Pyar - Amar Akbar Anthony / Soundtrack Version,Amar Akbar Anthony,01-01-1981,453400,0.829,0.418,0.603,0.00275,0.742,0.146,-6.816,0.0438,94.314,4,45,Dekh ke tumko Dil dola hai god Promise ham sach bola hai O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye Bolo toh mar jayey O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye Bolo toh mar jayey O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye Bolo toh mar jayey O hamko tumse ho Gaya hai pyar kya kare Kabhi bolu mai kabhi Bole tu i love you love you love you Love you love you love you Maine tumpe tumne mujh pe Kar diya jadu i love you love You love you i love you Abb tak chhupaye rakha Shola dabaye rakha Abb tak chhupaye rakha Shola dabaye rakha Raj yeh hamne abb khola hain God promise ham sach bola hai O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye bolo toh mar jayey O hamko tumse ho Gaya hai pyar kya kare O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye bolo toh mar jayey O hamko tumse ho Gaya hai pyar kya kare Tere sang jiwan ki Dor bandhi hai Chup chup sang dono Kaise mai bolu Tere sang mai dolu Tere sang jiwan ki Dor bandhi hai Kaise mai bolu Tere sang mai dolu Mai sapno kaa sagar Tu prem nadi hai Abb tak chhupaye Rakha shola dabaye rakha Abb tak chhupaye Rakha shola dabaye rakha Chand chakori jyo duniya me Ram kasam tu rahe jiya me O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye bolo toh mar jayey O hamko tumse ho Gaya hai pyar kya kare Dil me dilbar tu Rehta hain khuda gawah Ham sach kehta hain O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye bolo toh mar jayey Hamko tumse ho Gaya hai pyar kya kare Ek toh akbar kaa salam Usame shamil tera nam Do lafjo me kahta hu Mukh se kissa tamam Mai shayar hu mera Hai wasta hasino se Teri furkat me soya Nahi mahino se Nahi karte yeh baten Pardanashino se Sare bazar chhodo Chhed mahajabino se Abb tak chhupaye Rakha shola dabaye rakha Abb tak chhupaye rakha Shola dabaye rakha Husn hamesha Rutha rahata hai Khuda gavah ham Sach kehata hai O hamko tumse ho Gaya hai pyar kya kare Bolo toh jiye bolo toh mar jayey Hamko tumse ho Gaya hai pyar kya kare 
1hx7dXhFGacKPLBbdAy6Hl,"Hum Mil Gaye - From ""Yehi Hai Zindagi""",Bollywood Ballads,01-01-2014,285813,0.76,0.416,0.413,0.000317,0.405,0.35,-11.086,0.0258,94.362,4,18,"hum mil gaye, dil khil gaye aa main teri baaho me, itni khush hu ke dar lagta hai hum mil gaye, dil khil gaye aa main teri baaho me, itni khush hu ke dar lagta hai samne khade the, jo raaho pe pade the wo sabhi parvat apni, jagah se hil gaye re hum mil gaye, dil khil gaye aa main teri baaho me, itni khush hu ke dar lagta hai phulo ki sej pe chalke hum aa gaye kya hua kaanto se, paanv agar chhin gaye re hum mil gaye, dil khil gaye aa main teri baaho me, itni khush hu ke dar lagta hai"
1RKOuG94zg3IFQpIvVJDrL,Humsafar Ab Yeh Safar Kat Jayega,Juari,01-01-1968,317533,0.981,0.554,0.242,0.498,0.507,0.395,-14.853,0.0625,79.802,3,18,Hamasafar ab ye safar kat jayega Hamasafar ab ye safar kat jayega Raste me ji na ab ghabarayega Raste me ji na ab ghabarayega Hamasafar ab ye safar kat jayega Kis kadar ragin hai lamhat ye Hamkadam pahale kahan thi bat ye Koi hasarat thi na koi yaad thi Zindagi kya thi koi fariyaad thi Dil mera to mujhse bhi anajan tha Ek patthar ki tarah bejan tha Pyar tera ab ise dhadkayega Hamasafar ab ye safar kat jayega Suni rahe aur kali raat thi Apni to parachhai bhi na sath thi Har kadam par aa raha tha ye khyal Tanha mazil tak pahunchana hai muhal Aise hi viran se ek mod par Ji uthi mai teri surat dekh kar Ab ye virana chaman kahalayega Hamasafar ab ye safar kat jayega Meri nazaro ko hai duniya se gila Chal diya vo chhod kar jo bhi mila Mujh pe logo ne kiye hai jo sitam Mai badi mushkil se bhuli hu sanam Dekh na tu bhi yahi karna nahi Diljalo se dillagi karna nahi Bhar varana ye gam tadapayega Ye musafir rah me rah jayega Ye raha wada na din wo ayega Hamasafar ab ye safar kat jayega
7p7Vr0I545RugBB8531pfh,Hum Tumhare Liye,Intaquam,01-01-1969,270094,0.963,0.59,0.57,0.138,0.886,0.288,-7.777,0.0583,135.382,3,22,Ham tumhare liye tum hamare liye  Phir jamane kaa kya hai hamara na ho Aap ke pyar kaa jo mile aasra Aap ke pyar kaa jo mile aasra Phir khuda kaa bhi Beshak sahara na ho Ham tumhare liye Tum hamare liye Tum hi ho dil me tum Hi ho meri nigaho me Na aur aayega abb Koyi meri raho me Karu na aarzu karu na aarzu Marne ke bad jannat ki Agar yeh zindagi Gujare tumhari baho me Pyar ke chand se rat roshan rahe Phir koyi aasman pe sitara na ho Ham tumhare liye tum hamare liye Najar najar se kadam Se kadam milaye huye Chale hain wakt ki Raftar ko bhulaye huye Bahar puchh rahi hai Bahar puchh rahi hai Chaman ke phulo se Yeh kaun aaya ke tum Sab ho sar jukaye huye Ho sab ho sar jukaye huye Soch me phul hai Ham agar chal diye Soch me phul hai Ham agar chal diye Phir chaman me Kabhi yeh najara na ho Ham tumhare liye Tum hamare liye Phir jamane kaa Kya hai hamara na ho Aap ke pyar kaa jo mile aasra Phir khuda kaa bhi Beshak sahara na ho Ham tumhare liye tum hamare liye Ham tumhare liye tum hamare liye
7BIHcqjql1PlULV3h1B1RO,"Is Kismat Ke Kaise - From ""Khel Khilari Ka""",The Legend Of Mukesh,01-01-2012,67706,0.727,0.464,0.512,0,0.79,0.683,-5.808,0.0447,79.917,4,24,"is kismat ke bhee hain, kese-kese ang niraale, oh ho kese rang niraale. ek dooje se alaajh rahe hain, ek hee maan ke paale, oho ek hee maan ke paale, jo dete the bachapan mein vo, sapane hogaye jhoote, dil se dil kee dor bandee jo, toote se na toote, toote se na toote"
3vLFA2nTU6usnRbYrmVo6f,Itna Na Mujhse Tu Pyar Badha,Chhaya,01-01-1961,235333,0.962,0.503,0.294,0.133,0.845,0.171,-14.474,0.0573,138.348,4,43,: Itna na mujhse tu pyaar badha ki main ik badal aawara kaise kisi ka sahara banoon ki main khud beghar bechara : Isliye tujhse main pyaar karoon ki too ik badal aawara janam janam se hoon saath tere hai naam mera jal ki dhara Itna na mujhse tu pyaar badha ki main ik badal aawara janam janam se hoon saath tere hai naam mera jal ki dhara (Mujhe ek jagah aaraam nahi ruk jana mera kaam nahi)  Mera saath kahan tak dogi tum main des videsh ka banjara Itna na mujhse tu pyaar badha ki main ik badal aawara kaise kisi ka sahara banoon ki main khudh beghar bechara Isliye tujhse main pyaar karoon ki too ik badal aawara janam janam se hoon saath tere hai naam mera jal ki dhara (o neel gagan ke deewane tu pyaar na mera pahchane)  main tab tak saath chaloon tere jab tak na kahe too main haara Isliye tujhse main pyaar karoon ki too ik badal aawara janam janam se hoon saath tere hai naam mera jal ki dhara Itna na mujhse tu pyaar badha ki main ik badal aawara kaise kisi ka sahara banoon ki main khudh beghar bechara (kyoon pyaar main too nadaan bane ik pagal ka armaan bane)  Ab laut ke jaana mushkil hai maine chhod diya hai jag sara Itna na mujhse tu pyaar badha ki main ik badal aawara janam janam se hoon saath tere hai naam mera jal ki dhara
0EPBPqrmLxVl3UXzcJuqVj,Itna To Yaad Hai Mujhe,Mehboob Ki Mehndi,01-01-1970,375626,0.864,0.43,0.727,0.00417,0.55,0.139,-11.18,0.134,80.772,4,40,"Itna to yaad hai mujhe.. Ho.. Itna to yaad hai mujhe Haaye.. Itna to yaad hai mujhe, ke unse mulakaat hui Itna to yaad hai mujhe, ke unse mulakaat hui Bad me jaane kya hua.. Ho.. baad mein jaane kya hua.. Haaye.. baad mein jaane kya hua, naa jaane kya baat hui Baad me jaane kya hua, naa jaane kya baat hui Itna to yaad hai mujhe.. Ho.. Itna to yaad hai mujhe Haaye.. Itna to yaad hai mujhe, ke unse mulakaat hui Bad me jaane kya hua.. Haaye.. baad mein jaane kya hua, naa jaane kya baat hui Itna to yaad hai mujhe.. Ho.. Oo.. Aa.. Ho.. Waade wafa ke karke, kasme utha ke Kisi pe dil luta ke chala aaya Nazaare mila ke, neend apni ganwa ke Kasak dil me basa ke chala aaya Din to gujar jaayega.. Ho.. Din to gujar jaayega Haaye.. Din to gujar jaayega, kya hoga jab raat hui Din to gujar jaayega, kya hoga jab raat hui Itna to yaad hai mujhe.. Mari haya ke, main to aankhe jhuka ke Zara daaman bacha ke chali aayi Parda hatake, unki baaton mein aake Unhe surat dikha ke chali aayi Kis se shikayat karu.. Ho.. Kis se shikayat karu Haye.. Kis se shikayat karu, shararat mere saath hui Kis se shikayat karu, shararat mere saath hui Itna to yaad hai mujhe.. Ho.. Oo.. Aa.. Ho.. Thi ek kahani, pehle ye zindgaani Unhe dekha to jeena mujhe aaya Dilbar-o-jaani, sharam se paani paani Hui bas main pasina mujhe aaya Aise mai bheeg gayi.. Ho.. Aise mai bheeg gayi.. Haaye.. Aise mai bheeg gayi, jaise ke barsaat hui Aise mai bheeg gayi, jaise ke barsaat hui Itna to yaad hai mujhe.. Ho.. Itna to yaad hai mujhe Haaye.. Itna to yaad hai mujhe, ke unse mulakat hui Itna to yaad hai mujhe, ke unse mulakat hui Itna to yaad hai mujhe.. Ho.. Itna to yaad hai mujhe Itna to yaad hai mujhe.. Itna to yaad hai mujhe.."
